Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
"Lip, oral cavity",1,900,N.A.,1,0,5.32,6.03,0.67,231863
"Lip, oral cavity",1,900,N.A.,1,1,2.55,2.89,0.32,111258
"Lip, oral cavity",1,900,N.A.,2,0,1.99,2.41,0.26,90138
"Lip, oral cavity",1,900,N.A.,2,1,0.9,1.09,0.12,40843
Salivary glands,2,900,N.A.,1,0,0.56,0.63,0.07,24411
Salivary glands,2,900,N.A.,1,1,0.23,0.26,0.03,10038
Salivary glands,2,900,N.A.,2,0,0.44,0.52,0.05,19455
Salivary glands,2,900,N.A.,2,1,0.15,0.19,0.02,6937
Oropharynx,3,900,N.A.,1,0,1.72,1.95,0.23,74897
Oropharynx,3,900,N.A.,1,1,0.81,0.92,0.11,35571
Oropharynx,3,900,N.A.,2,0,0.36,0.44,0.05,16266
Oropharynx,3,900,N.A.,2,1,0.15,0.18,0.02,6761
Nasopharynx,4,900,N.A.,1,0,1.86,2.09,0.21,80574
Nasopharynx,4,900,N.A.,1,1,1.1,1.25,0.14,47891
Nasopharynx,4,900,N.A.,2,0,0.7,0.82,0.08,30673
Nasopharynx,4,900,N.A.,2,1,0.36,0.43,0.04,15885
Hypopharynx,5,900,N.A.,1,0,1.41,1.6,0.19,61608
Hypopharynx,5,900,N.A.,1,1,0.64,0.73,0.09,27964
Hypopharynx,5,900,N.A.,2,0,0.27,0.32,0.03,12109
Hypopharynx,5,900,N.A.,2,1,0.11,0.13,0.01,4977
Oesophagus,6,900,N.A.,1,0,6.36,7.28,0.93,280127
Oesophagus,6,900,N.A.,1,1,5.3,6.07,0.78,233286
Oesophagus,6,900,N.A.,2,0,2.15,2.68,0.31,100275
Oesophagus,6,900,N.A.,2,1,1.73,2.15,0.25,80492
Stomach,7,900,N.A.,1,0,10.14,11.62,1.53,447130
Stomach,7,900,N.A.,1,1,6.4,7.35,0.98,282537
Stomach,7,900,N.A.,2,0,4.75,5.9,0.67,220351
Stomach,7,900,N.A.,2,1,2.92,3.63,0.42,135776
Colorectum,41,900,N.A.,1,0,17.64,20.16,2.57,775485
Colorectum,41,900,N.A.,1,1,6.85,7.86,1.04,302215
Colorectum,41,900,N.A.,2,0,12.1,15.02,1.71,561256
Colorectum,41,900,N.A.,2,1,4.43,5.55,0.65,207310
Liver and intrahepatic bile ducts,11,900,N.A.,1,0,10.98,12.49,1.49,480342
Liver and intrahepatic bile ducts,11,900,N.A.,1,1,9.19,10.46,1.26,402454
Liver and intrahepatic bile ducts,11,900,N.A.,2,0,3.87,4.78,0.55,178559
Liver and intrahepatic bile ducts,11,900,N.A.,2,1,3.23,4.01,0.47,149919
Gallbladder,12,900,N.A.,1,0,0.66,0.76,0.1,29119
